report_date,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
2026-06-15,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,83306.88,82492.3845551339,3471.1200000000003,69.80758523861924,88.19519394007528,0.020110968574586656,0.02001707378550133,-33.93731020275385,-0.0097770489648165
2026-06-16,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,85548.24,84783.79759037346,3564.51,59.8308488534542,79.4167144018051,0.016785153879061692,0.01562746247773343,-31.851767067772812,-0.008935805220850218
2026-06-17,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,86443.92,85357.29453596362,3601.83,81.62800623864388,105.65230017759002,0.022662925856757225,0.021903176148703546,-45.27606100151545,-0.012570293712228354
2026-06-18,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,88953.84,87386.75192800596,3706.41,82.1374340586388,101.26919635016421,0.02216091421581498,0.02342604451938431,-65.29533633308489,-0.01761686816436522
2026-06-19,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,81813.6,83107.53478898937,3408.9,157.0702722632393,187.88630088238938,0.04607652681605189,0.04700202383211344,53.91394954122359,0.01581564420816791
2026-06-20,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,57592.8,59130.53906037184,2399.7000000000003,77.31603712824254,111.76874957559879,0.03221904285045736,0.03440179643950033,64.07246084882678,0.0267001962115376
2026-06-21,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,54473.04,54974.62289812577,2269.71,42.08679138332158,51.642510313903564,0.018542805637425743,0.018490499709284798,20.89928742190683,0.009207910888134092
2026-06-22,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,68091.12,69661.38887428628,2837.1299999999997,87.52670864178913,115.39128289228466,0.030850439931123755,0.029236105484815988,65.42786976192801,0.02306128720288743
2026-06-23,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,67353.84,68954.58170607817,2806.41,81.88175190677953,106.28044603649367,0.029176689046425695,0.027199805217760286,66.69757108659053,0.023766153586464746
2026-06-24,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,64650.240000000005,66896.99115150044,2693.76,114.24428638384875,149.42972339201896,0.04241071453427504,0.04014370792632875,93.61463131251783,0.03475240233447591
2026-06-25,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,65184.48,66102.20534632525,2716.02,60.80474982628787,76.18879811811779,0.022387445536589518,0.02281309882730695,38.23855609688551,0.014078893416427533
2026-06-26,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,66669.12,66564.97715672938,2777.8799999999997,61.314651985603916,89.48769537274258,0.02207246244819932,0.021096966051102266,-4.339285136275312,-0.0015620851643250654
2026-06-27,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,55036.08,54644.47650060551,2293.17,36.33506234919644,46.6988951790471,0.015844905676071306,0.015604966062270511,-16.31681247477037,-0.0071153959256271306
2026-06-28,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,52074.72,52164.215553281836,2169.78,23.359285481491185,28.321806962223647,0.01076573914474794,0.01099981209853331,3.728981386743167,0.0017185988380126866
2026-06-29,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,69852.96,69343.03661846177,2910.5400000000004,64.8872396260288,95.4698642052792,0.022293883480738557,0.020969559286256923,-21.246807564092318,-0.007299953810664796
