building_name_recent,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
제2인문관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,17786.0,19248.51666666667,254.0857142857143,44.89996159754224,56.70433278421338,0.17671186955065538,0.17671186955065538,20.89309523809524,0.08222853180404063
제3과학관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,62772.0,65883.33333333334,896.7428571428571,155.39170506912444,200.11352461604133,0.1732845752061223,0.17328457520612234,44.447619047619014,0.049565623738821944
화공관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,176969.0,160066.6666666667,2528.1285714285714,343.16420890937025,398.64836773245435,0.13573843228845683,0.13573843228845683,-241.4619047619048,-0.09551013642690717
건축관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,72933.0,71170.87728110599,1041.9,169.2752258064516,212.0776556487288,0.16246782398162166,0.16246782398162163,-25.173181698485834,-0.024160842401848386
기계관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,136365.0,133730.62268817204,1948.0714285714287,347.2629780557384,424.5866273190983,0.1782598794698177,0.17825987946981767,-37.633961597542246,-0.019318573767667345
박물관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,42142.0,42973.846390168976,602.0285714285715,76.14783629580863,97.62096187325653,0.12648541931343088,0.12648541931343088,11.883519859556724,0.01973912937613238
사범대학,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,65392.0,64183.82019969278,934.1714285714286,125.65756747860435,164.97088261107987,0.1345123214384375,0.1345123214384375,-17.259711432960295,-0.018475957308343845
상경관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,145964.0,144466.9757296467,2085.2,419.92339477726586,539.1038150490666,0.20138279051278815,0.20138279051278818,-21.386061005047225,-0.01025611979908269
생활과학대,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,77614.0,74875.33192012289,1108.7714285714285,147.48254553434276,189.2637591613057,0.133014381263741,0.133014381263741,-39.12382971253019,-0.03528574844586174
섬유관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,76228.0,75304.30082949308,1088.9714285714285,131.978549923195,164.31028526364588,0.12119560390701122,0.12119560390701122,-13.195702435813018,-0.012117583702929518
외국어교육원,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,30950.0,30246.838325652843,442.14285714285717,100.13696181698485,119.90679636467418,0.22648101218704167,0.22648101218704164,-10.045166776387978,-0.022719278654189285
음대,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,42136.0,42121.08517665131,601.9428571428572,66.20232499451393,83.17164559950119,0.109981079115625,0.10998107911562499,-0.2130689049813587,-0.0003539686574115984
인문계식당,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,28526.0,25177.09800307219,407.51428571428573,123.12789115646257,147.58372992461346,0.30214374188292714,0.30214374188292714,-47.84145709896862,-0.1173982330830752
전기관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,78682.33333333334,76467.83819764463,1124.0333333333335,148.05972289274132,203.4737472125361,0.1317218257697648,0.1317218257697648,-31.635644795552643,-0.0281447567944776
제1공장형실습장,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,55797.0,54719.994086021514,797.1,88.89477836295809,115.37792985697592,0.11152274289669815,0.11152274289669814,-15.385798771121362,-0.019302219007804995
제1과학관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,183967.68181818182,182690.02768049153,2628.10974025974,294.4520720569753,416.71066679091024,0.1120394888943542,0.11203948889435421,-18.25220196700376,-0.0069449923218198135
제2공장형실습장,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,29283.0,27687.635560675884,418.3285714285714,110.56079328505595,136.30055706092477,0.2642917573320328,0.2642917573320328,-22.790920561773095,-0.05448090835379288
제2인문관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,17786.0,17917.790307219664,254.0857142857143,33.40538797454465,47.70755902412173,0.13147290892938973,0.13147290892938973,1.8827186745665996,0.007409777758892498
제3과학관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,62772.0,62110.09592933948,896.7428571428571,110.78194755321483,162.14062612673393,0.12353814326013252,0.12353814326013252,-9.455772438007452,-0.010544575139560978
화공관,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,70,176969.0,170797.26136712747,2528.1285714285714,234.06274851876233,278.43942165720176,0.0925834038521626,0.0925834038521626,-88.16769475532153,-0.03487468784291321
건축관,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,72933.0,72947.51381949501,1041.9,145.56897715887473,188.0419468952931,0.13971492193000742,0.1397149219300074,0.20734027850009593,0.00019900209089173234
기계관,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,136365.0,132419.75351396907,1948.0714285714287,307.2434687144045,390.96961761340737,0.15771673677269327,0.15771673677269324,-56.36066408615607,-0.028931518249044292
박물관,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,42142.0,43169.912140310225,602.0285714285715,57.971911243206975,91.47831225208988,0.09629428567757792,0.0962942856775779,14.684459147288967,0.024391631633767445
사범대학,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,65392.0,65069.59292759284,934.1714285714286,104.62104311852542,143.63811244679422,0.1119934092594932,0.1119934092594932,-4.605815320102265,-0.004930374853302523
상경관,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,145964.0,143517.31295275112,2085.2,357.7753740257255,517.9671767231486,0.17157844524540836,0.17157844524540838,-34.95267210355581,-0.016762263621501922
생활과학대,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,77614.0,77539.94629403223,1108.7714285714285,131.41152651500474,179.46709001243912,0.1185199430006227,0.11851994300062273,-1.0579100852538934,-0.000954128198105658
