metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_month,baseline_school_shape_kwh_observed_norm,생활과학대,31.0,30789.0,26501.000000000004,146.74382782211848,163.02449942539386,0.14186838704209165,-138.32258064516128,-0.13927051869174042,2026-05
building_month,baseline_school_shape_kwh_observed_norm,생활과학대,23.0,28909.0,37134.5,357.63043478260863,376.0923357885942,0.31053433986934303,357.63043478260863,0.28453076896468227,2026-06
building_month,baseline_school_shape_kwh_observed_norm,섬유관,30.0,34658.0,34226.5,65.04894715215448,76.55550499563923,0.05624024273890362,-14.383333333333322,-0.012450227941600785,2026-04
building_month,baseline_school_shape_kwh_observed_norm,섬유관,31.0,32836.0,30907.999999999996,79.037391863627,96.83952218099232,0.07273724838269302,-62.193548387096754,-0.05871604336703629,2026-05
building_month,baseline_school_shape_kwh_observed_norm,섬유관,23.0,26022.0,32703.999999999996,290.5217391304348,302.38880521673764,0.2737448328568903,290.5217391304348,0.2567827223118898,2026-06
building_month,baseline_school_shape_kwh_observed_norm,외국어교육원,30.0,15510.0,13699.999999999998,95.24177913458472,104.9036418356383,0.1848319839158741,-60.333333333333336,-0.1166989039329466,2026-04
building_month,baseline_school_shape_kwh_observed_norm,외국어교육원,31.0,13131.0,12650.0,89.2838658993103,96.63708672685473,0.24665735498588295,-15.516129032258052,-0.03663087350544513,2026-05
building_month,baseline_school_shape_kwh_observed_norm,외국어교육원,23.0,9901.0,12150.000000000002,98.25126930421493,115.39842571606773,0.30276411167867634,97.7826086956522,0.22714877285122734,2026-06
building_month,baseline_school_shape_kwh_observed_norm,음대,30.0,18195.0,19500.0,47.39752973113968,56.19970699484069,0.08006788128126614,43.49999999999999,0.0717230008244023,2026-04
building_month,baseline_school_shape_kwh_observed_norm,음대,31.0,18899.0,17500.0,45.67092935503286,56.688398905734715,0.07256142473138998,-45.12903225806453,-0.0740250806921001,2026-05
building_month,baseline_school_shape_kwh_observed_norm,음대,23.0,13810.0,19500.0,247.3913043478261,254.74543719956245,0.42351851428432924,247.3913043478261,0.41202027516292544,2026-06
building_month,baseline_school_shape_kwh_observed_norm,인문계식당,30.0,10552.0,7450.0,113.03407496143728,131.9694106986518,0.28523733932622136,-103.40000000000002,-0.29397270659590596,2026-04
building_month,baseline_school_shape_kwh_observed_norm,인문계식당,31.0,11582.0,7650.0,136.82369916731008,180.87020850792857,0.2832007791265518,-126.83870967741936,-0.3394923156622345,2026-05
building_month,baseline_school_shape_kwh_observed_norm,인문계식당,23.0,11392.0,10850.0,129.87658283206946,142.2172664179053,0.37975986434734565,-23.565217391304348,-0.04757724719101124,2026-06
building_month,baseline_school_shape_kwh_observed_norm,전기관,30.0,35563.33333333333,32107.5,157.9461028511194,180.49686208219217,0.13477639221400212,-115.1944444444444,-0.0971740556753209,2026-04
